name;price;town;city;shipping;sold;date;url
Pc gaming assemblato fisso completo;1.500;Palermo ;(PA);;;;https://www.subito.it/informatica/pc-gaming-assemblato-fisso-completo-palermo-493990627.htm
Ten-tec orion2 con filtri + Imballo;1.990;Bologna ;(BO);;;2023-06-01;https://www.subito.it/audio-video/ten-tec-orion2-con-filtri-imballo-bologna-495444488.htm
Westone spectrum;150;Chieti ;(CH);;;2023-06-02;https://www.subito.it/strumenti-musicali/westone-spectrum-chieti-495353506.htm
Mouse Logitech G502 Proteus Spectrum;15;Avellino ;(AV);Spedizione disponibile;;2023-06-02;https://www.subito.it/informatica/mouse-logitech-g502-proteus-spectrum-avellino-495348565.htm
Fujifilm x100s full spectrum;650;Martellago ;(VE);Spedizione disponibile;;2023-06-02;https://www.subito.it/fotografia/fujifilm-x100s-full-spectrum-venezia-495314863.htm
Olio CBD full spectrum;;Torino ;(TO);Spedizione disponibile;;;https://www.subito.it/hobby-collezionismo/olio-cbd-full-spectrum-torino-459012555.htm
Canon 6D mod. x ASTROFOTOGRAFIA.+ filtro OPTOLONG;620;Lanciano ;(CH);Spedizione disponibile;;;https://www.subito.it/fotografia/canon-6d-mod-x-astrofotografia-filtro-optolong-chieti-488094841.htm
Radiocomando Spectrum DX6i;129;Reggio di Calabria ;(RC);Spedizione disponibile;;;https://www.subito.it/hobby-collezionismo/radiocomando-spectrum-dx6i-reggio-calabria-491091781.htm
(FRETTA DI VENDERE) Pc assemblato + periferiche;479;Napoli ;(NA);Spedizione disponibile;;2023-06-02;https://www.subito.it/informatica/fretta-di-vendere-pc-assemblato-periferiche-napoli-494546679.htm
Libro “Grammar spectrum Gold”;15;Piovene Rocchette ;(VI);Spedizione disponibile;;2023-06-02;https://www.subito.it/libri-riviste/libro-grammar-spectrum-gold-vicenza-495278510.htm
Trasformatore alimentatore modellismo F.S;40;Genova ;(GE);Spedizione disponibile;;2023-06-02;https://www.subito.it/hobby-collezionismo/trasformatore-alimentatore-modellismo-f-s-genova-495275655.htm
Canon 6D mod. x ASTROFOTOGRAFIA.+ filtro OPTOLONG;620;Lanciano ;(CH);Spedizione disponibile;;2023-06-02;https://www.subito.it/fotografia/canon-6d-mod-x-astrofotografia-filtro-optolong-chieti-488094841.htm
Casco BMW System 7 EVO Carbon Spectrum Fluo;825;San Severo ;(FG);;;2023-06-02;https://www.subito.it/accessori-moto/casco-bmw-system-7-evo-carbon-spectrum-fluo-foggia-421883798.htm
Casco BMW System 7 Carbon Spectrum Fluo;508;San Severo ;(FG);;;2023-06-02;https://www.subito.it/accessori-moto/casco-bmw-system-7-carbon-spectrum-fluo-foggia-385365526.htm
Grow Light;22;Firenze ;(FI);Spedizione disponibile;;2023-06-02;https://www.subito.it/giardino-fai-da-te/grow-light-firenze-495202928.htm
Motoscafo rc;200;Siracusa ;(SR);Spedizione disponibile;;2023-06-02;https://www.subito.it/hobby-collezionismo/motoscafo-rc-siracusa-495202400.htm
Scaler crawler;150;Siracusa ;(SR);Spedizione disponibile;;2023-06-02;https://www.subito.it/hobby-collezionismo/scaler-crawler-siracusa-495201693.htm
Modifica Full Spectrum fotografia Infrarossi;;Pordenone ;(PN);;;2023-05-30 00:00:00;https://www.subito.it/fotografia/modifica-full-spectrum-fotografia-infrarossi-pordenone-495184013.htm
Brunner ALL INCLUSIVE Spectrum Lunch Box antislip;149;Sale Marasino ;(BS);;;2023-05-30 00:00:00;https://www.subito.it/arredamento-casalinghi/brunner-all-inclusive-spectrum-lunch-box-antislip-brescia-355792931.htm
Sinclair ZX Spectrum 48k personal computer;500;Nogarole Rocca ;(VR);Spedizione disponibile;;2023-05-30 00:00:00;https://www.subito.it/informatica/sinclair-zx-spectrum-48k-personal-computer-verona-495121453.htm
Collezione zippo vintage;350;Roma ;(RM);Spedizione disponibile;;2023-05-30 00:00:00;https://www.subito.it/hobby-collezionismo/collezione-zippo-vintage-roma-490225823.htm
Alimentatore Spectrum Grow 400W;59;Empoli ;(FI);Spedizione disponibile;;2023-05-30 00:00:00;https://www.subito.it/elettrodomestici/alimentatore-spectrum-grow-400w-firenze-440246314.htm
Alimentatore Spectrum Grow 250W;49;Empoli ;(FI);Spedizione disponibile;;2023-05-30 00:00:00;https://www.subito.it/elettrodomestici/alimentatore-spectrum-grow-250w-firenze-440246075.htm
Scheda CPU sostitutiva bally e gttb system80;180;Bastia Umbra ;(PG);Spedizione disponibile;;2023-05-29 00:00:00;https://www.subito.it/videogiochi/scheda-cpu-sostitutiva-bally-e-gttb-system80-perugia-477828359.htm
Elicottero T-Rex 450 plus DFC BTF flybarless;350;Lavagna ;(GE);Spedizione disponibile;;2023-05-29 00:00:00;https://www.subito.it/hobby-collezionismo/elicottero-t-rex-450-plus-dfc-btf-flybarless-genova-494943757.htm
Zx spectrum+2 128k sinclair;300;Pavia ;(PV);Spedizione disponibile;;2023-05-29 00:00:00;https://www.subito.it/informatica/zx-spectrum-2-128k-sinclair-pavia-494925569.htm
Alimentatore Spectrum Grow 600W;74;Empoli ;(FI);Spedizione disponibile;;2023-05-29 00:00:00;https://www.subito.it/elettrodomestici/alimentatore-spectrum-grow-600w-firenze-440246536.htm
Humminbird Helix 7 G4N Chirp;1.069;Vado Ligure ;(SV);;;2023-05-29 00:00:00;https://www.subito.it/nautica/humminbird-helix-7-g4n-chirp-savona-494910278.htm
Humminbird Helix 5 G3 Chirp;479;Vado Ligure ;(SV);;;2023-05-29 00:00:00;https://www.subito.it/nautica/humminbird-helix-5-g3-chirp-savona-494910032.htm
ZX Spectrum;90;Foggia ;(FG);Spedizione disponibile;;2023-05-28 00:00:00;https://www.subito.it/videogiochi/zx-spectrum-foggia-494830452.htm
ZX Spectrum SINCLAIR;220;Noventa di Piave ;(VE);Spedizione disponibile;;2023-05-28 00:00:00;https://www.subito.it/videogiochi/zx-spectrum-sinclair-venezia-494813174.htm
Eve spectrum 4k 144 hz;480;San Bonifacio ;(VR);;;2023-05-28 00:00:00;https://www.subito.it/informatica/eve-spectrum-4k-144-hz-verona-494794918.htm
ZX spectrum computer anni 80;500;Porto Recanati ;(MC);;;2023-05-28 00:00:00;https://www.subito.it/videogiochi/zx-spectrum-computer-anni-80-macerata-494757526.htm
